company_id,type,message,confidence_pct
INFY,Positive Net Cash,Overall cash position improved during the year.,90
INFY,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
INFY,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
INFY,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
IOC,Positive OCF,Business generates positive operating cash flow from core operations.,95
IOC,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
IOC,Positive Net Cash,Overall cash position improved during the year.,90
IOC,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
IOC,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
IOC,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
IRCTC,Positive OCF,Business generates positive operating cash flow from core operations.,95
IRCTC,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
IRCTC,Positive Net Cash,Overall cash position improved during the year.,90
IRCTC,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
IRFC,Positive OCF,Business generates positive operating cash flow from core operations.,95
IRFC,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
IRFC,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
IRFC,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
IRFC,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
ITC,Positive OCF,Business generates positive operating cash flow from core operations.,95
ITC,Positive Net Cash,Overall cash position improved during the year.,90
ITC,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
JINDALSTEL,Positive OCF,Business generates positive operating cash flow from core operations.,95
JINDALSTEL,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
JINDALSTEL,Financing Inflow,Company received positive cash from financing activities.,85
JINDALSTEL,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
JINDALSTEL,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
JINDALSTEL,External Funding,Large financing inflow indicates debt or equity funding.,85
JINDALSTEL,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
JINDALSTEL,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
JIOFIN,Negative OCF,Negative operating cash flow may indicate pressure on core business operations.,95
JIOFIN,Positive Net Cash,Overall cash position improved during the year.,90
JSWENERGY,Positive OCF,Business generates positive operating cash flow from core operations.,95
JSWENERGY,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
JSWENERGY,Financing Inflow,Company received positive cash from financing activities.,85
JSWENERGY,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
JSWENERGY,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
JSWENERGY,External Funding,Large financing inflow indicates debt or equity funding.,85
JSWENERGY,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
JSWENERGY,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
JSWSTEEL,Positive OCF,Business generates positive operating cash flow from core operations.,95
JSWSTEEL,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
JSWSTEEL,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
JSWSTEEL,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
JSWSTEEL,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
JSWSTEEL,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
KOTAKBANK,Positive OCF,Business generates positive operating cash flow from core operations.,95
KOTAKBANK,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
KOTAKBANK,Financing Inflow,Company received positive cash from financing activities.,85
KOTAKBANK,Positive Net Cash,Overall cash position improved during the year.,90
KOTAKBANK,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
KOTAKBANK,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
KOTAKBANK,External Funding,Large financing inflow indicates debt or equity funding.,85
KOTAKBANK,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
LICI,Positive OCF,Business generates positive operating cash flow from core operations.,95
LICI,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
LICI,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
LICI,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
LICI,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
LICI,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
LODHA,Positive OCF,Business generates positive operating cash flow from core operations.,95
LODHA,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
LODHA,Financing Inflow,Company received positive cash from financing activities.,85
LODHA,Positive Net Cash,Overall cash position improved during the year.,90
LODHA,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
LODHA,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
LODHA,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
LT,Positive OCF,Business generates positive operating cash flow from core operations.,95
LT,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
LT,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
LTIM,Positive OCF,Business generates positive operating cash flow from core operations.,95
LTIM,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
LTIM,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
LTIM,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
LTIM,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
LTIM,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
M&M,Negative OCF,Negative operating cash flow may indicate pressure on core business operations.,95
M&M,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
M&M,Financing Inflow,Company received positive cash from financing activities.,85
M&M,Positive Net Cash,Overall cash position improved during the year.,90
M&M,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
M&M,External Funding,Large financing inflow indicates debt or equity funding.,85
MARUTI,Positive OCF,Business generates positive operating cash flow from core operations.,95
MARUTI,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
MARUTI,Positive Net Cash,Overall cash position improved during the year.,90
MARUTI,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
MARUTI,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
MARUTI,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
MOTHERSON,Positive OCF,Business generates positive operating cash flow from core operations.,95
MOTHERSON,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
MOTHERSON,Financing Inflow,Company received positive cash from financing activities.,85
MOTHERSON,Positive Net Cash,Overall cash position improved during the year.,90
MOTHERSON,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
MOTHERSON,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
MOTHERSON,External Funding,Large financing inflow indicates debt or equity funding.,85
MOTHERSON,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
NAUKRI,Positive OCF,Business generates positive operating cash flow from core operations.,95
NAUKRI,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
NAUKRI,Financing Inflow,Company received positive cash from financing activities.,85
NAUKRI,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
NAUKRI,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
NESTLEIND,Positive OCF,Business generates positive operating cash flow from core operations.,95
NESTLEIND,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
NESTLEIND,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
NESTLEIND,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
NESTLEIND,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
NESTLEIND,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
NHPC,Positive OCF,Business generates positive operating cash flow from core operations.,95
NHPC,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
NHPC,Positive Net Cash,Overall cash position improved during the year.,90
NHPC,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
NHPC,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
NHPC,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
NTPC,Positive OCF,Business generates positive operating cash flow from core operations.,95
NTPC,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
NTPC,Positive Net Cash,Overall cash position improved during the year.,90
NTPC,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
NTPC,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
NTPC,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
ONGC,Positive OCF,Business generates positive operating cash flow from core operations.,95
ONGC,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
ONGC,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
ONGC,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
ONGC,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
ONGC,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
PFC,Negative OCF,Negative operating cash flow may indicate pressure on core business operations.,95
PFC,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
PFC,Financing Inflow,Company received positive cash from financing activities.,85
PFC,Positive Net Cash,Overall cash position improved during the year.,90
PFC,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
PFC,External Funding,Large financing inflow indicates debt or equity funding.,85
PIDILITIND,Positive OCF,Business generates positive operating cash flow from core operations.,95
PIDILITIND,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
PIDILITIND,Positive Net Cash,Overall cash position improved during the year.,90
PIDILITIND,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
PIDILITIND,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
PIDILITIND,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
PNB,Negative OCF,Negative operating cash flow may indicate pressure on core business operations.,95
PNB,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
PNB,Financing Inflow,Company received positive cash from financing activities.,85
PNB,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
PNB,External Funding,Large financing inflow indicates debt or equity funding.,85
PNB,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
POWERGRID,Positive OCF,Business generates positive operating cash flow from core operations.,95
POWERGRID,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
POWERGRID,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
POWERGRID,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
POWERGRID,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
POWERGRID,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
RECLTD,Negative OCF,Negative operating cash flow may indicate pressure on core business operations.,95
RECLTD,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
RECLTD,Financing Inflow,Company received positive cash from financing activities.,85
RECLTD,Positive Net Cash,Overall cash position improved during the year.,90
RECLTD,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
RECLTD,External Funding,Large financing inflow indicates debt or equity funding.,85
RELIANCE,Positive OCF,Business generates positive operating cash flow from core operations.,95
RELIANCE,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
RELIANCE,Positive Net Cash,Overall cash position improved during the year.,90
RELIANCE,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
RELIANCE,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
RELIANCE,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
SBILIFE,Positive OCF,Business generates positive operating cash flow from core operations.,95
SBILIFE,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
SBILIFE,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
SBILIFE,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
SBILIFE,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
SBILIFE,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
SBIN,Positive OCF,Business generates positive operating cash flow from core operations.,95
SBIN,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
SBIN,Positive Net Cash,Overall cash position improved during the year.,90
SBIN,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
SBIN,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
SBIN,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
SHREECEM,Positive OCF,Business generates positive operating cash flow from core operations.,95
SHREECEM,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
SHREECEM,Positive Net Cash,Overall cash position improved during the year.,90
SHREECEM,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
SHREECEM,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
SHREECEM,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
SHRIRAMFIN,Negative OCF,Negative operating cash flow may indicate pressure on core business operations.,95
SHRIRAMFIN,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
SHRIRAMFIN,Financing Inflow,Company received positive cash from financing activities.,85
SHRIRAMFIN,External Funding,Large financing inflow indicates debt or equity funding.,85
SHRIRAMFIN,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
SUNPHARMA,Positive OCF,Business generates positive operating cash flow from core operations.,95
SUNPHARMA,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
SUNPHARMA,Positive Net Cash,Overall cash position improved during the year.,90
SUNPHARMA,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
SUNPHARMA,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
TATACONSUM,Positive OCF,Business generates positive operating cash flow from core operations.,95
TATACONSUM,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
TATACONSUM,Financing Inflow,Company received positive cash from financing activities.,85
TATACONSUM,Positive Net Cash,Overall cash position improved during the year.,90
TATACONSUM,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
TATACONSUM,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
TATACONSUM,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
TATAMOTORS,Positive OCF,Business generates positive operating cash flow from core operations.,95
TATAMOTORS,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
TATAMOTORS,Positive Net Cash,Overall cash position improved during the year.,90
TATAMOTORS,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
TATAMOTORS,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
TATAMOTORS,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
TATAPOWER,Positive OCF,Business generates positive operating cash flow from core operations.,95
TATAPOWER,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
TATAPOWER,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
TATAPOWER,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
TATAPOWER,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
TATAPOWER,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
TATASTEEL,Positive OCF,Business generates positive operating cash flow from core operations.,95
TATASTEEL,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
TATASTEEL,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
TATASTEEL,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
TATASTEEL,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
TATASTEEL,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
TECHM,Positive OCF,Business generates positive operating cash flow from core operations.,95
TECHM,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
TECHM,Positive Net Cash,Overall cash position improved during the year.,90
TECHM,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
TECHM,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
TECHM,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
TITAN,Positive OCF,Business generates positive operating cash flow from core operations.,95
TITAN,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
TITAN,Positive Net Cash,Overall cash position improved during the year.,90
TITAN,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
TITAN,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
TORNTPHARM,Positive OCF,Business generates positive operating cash flow from core operations.,95
TORNTPHARM,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
TORNTPHARM,Positive Net Cash,Overall cash position improved during the year.,90
TORNTPHARM,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
TORNTPHARM,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
TRENT,Positive OCF,Business generates positive operating cash flow from core operations.,95
TRENT,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
TRENT,Positive Net Cash,Overall cash position improved during the year.,90
TRENT,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
TRENT,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
TVSMOTOR,Negative OCF,Negative operating cash flow may indicate pressure on core business operations.,95
TVSMOTOR,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
TVSMOTOR,Financing Inflow,Company received positive cash from financing activities.,85
TVSMOTOR,Positive Net Cash,Overall cash position improved during the year.,90
TVSMOTOR,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
TVSMOTOR,External Funding,Large financing inflow indicates debt or equity funding.,85
ULTRACEMCO,Positive OCF,Business generates positive operating cash flow from core operations.,95
ULTRACEMCO,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
ULTRACEMCO,Positive Net Cash,Overall cash position improved during the year.,90
ULTRACEMCO,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
ULTRACEMCO,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
ULTRACEMCO,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
UNIONBANK,Positive OCF,Business generates positive operating cash flow from core operations.,95
UNIONBANK,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
UNIONBANK,Positive Net Cash,Overall cash position improved during the year.,90
UNIONBANK,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
UNIONBANK,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
UNIONBANK,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
UNITDSPR,Positive OCF,Business generates positive operating cash flow from core operations.,95
UNITDSPR,Positive Net Cash,Overall cash position improved during the year.,90
UNITDSPR,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
VEDL,Positive OCF,Business generates positive operating cash flow from core operations.,95
VEDL,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
VEDL,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
VEDL,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
VEDL,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
VEDL,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
WIPRO,Positive OCF,Business generates positive operating cash flow from core operations.,95
WIPRO,Positive Net Cash,Overall cash position improved during the year.,90
WIPRO,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
ZOMATO,Positive OCF,Business generates positive operating cash flow from core operations.,95
ZOMATO,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
ZOMATO,Positive Net Cash,Overall cash position improved during the year.,90
ZOMATO,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
ZYDUSLIFE,Positive OCF,Business generates positive operating cash flow from core operations.,95
ZYDUSLIFE,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
ZYDUSLIFE,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
ZYDUSLIFE,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
ZYDUSLIFE,Cash Burn,"Net cash flow is negative, indicating a reduction in cash reserves.",90
ZYDUSLIFE,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
TCS,Positive OCF,Business generates positive operating cash flow from core operations.,95
TCS,Positive Net Cash,Overall cash position improved during the year.,90
TCS,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
SIEMENS,Positive OCF,Business generates positive operating cash flow from core operations.,95
SIEMENS,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
SIEMENS,Positive Net Cash,Overall cash position improved during the year.,90
SIEMENS,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
SIEMENS,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
